batch,instance,budget,completion_rows,checkpoint,method,pairs,both_feasible,method_wins,exact_wins,ties,method_only,exact_only,both_missing,median_delta_complete
acn_scale_v4_grid,2019-03-08_N20_C5,120.0,vehicle,30.0,greedy_10,3,3,3,0,0,0,0,0,-3.0
acn_scale_v4_grid,2019-03-08_N20_C5,120.0,vehicle,60.0,qaia_50_4,3,3,0,3,0,0,0,0,15.0
acn_scale_v4_grid,2019-03-08_N20_C5,120.0,vehicle,60.0,qaia_200_10,3,3,0,2,1,0,0,0,7.0
acn_scale_v4_grid,2019-03-08_N20_C5,120.0,vehicle,60.0,greedy_4,3,3,0,3,0,0,0,0,12.0
acn_scale_v4_grid,2019-03-08_N20_C5,120.0,vehicle,60.0,greedy_10,3,3,0,3,0,0,0,0,12.0
acn_scale_v4_grid,2019-03-08_N20_C5,120.0,vehicle,120.0,qaia_50_4,3,3,0,3,0,0,0,0,5.0
acn_scale_v4_grid,2019-03-08_N20_C5,120.0,vehicle,120.0,qaia_200_10,3,3,0,1,2,0,0,0,0.0
acn_scale_v4_grid,2019-03-08_N20_C5,120.0,vehicle,120.0,greedy_4,3,3,0,2,1,0,0,0,3.0
acn_scale_v4_grid,2019-03-08_N20_C5,120.0,vehicle,120.0,greedy_10,3,3,0,1,2,0,0,0,0.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,1.0,qaia_50_4,3,0,0,0,0,0,0,3,
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,1.0,qaia_200_10,3,0,0,0,0,0,0,3,
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,1.0,greedy_4,3,0,0,0,0,0,0,3,
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,1.0,greedy_10,3,0,0,0,0,1,0,2,
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,10.0,qaia_50_4,3,3,3,0,0,0,0,0,-3.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,10.0,qaia_200_10,3,3,3,0,0,0,0,0,-3.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,10.0,greedy_4,3,3,3,0,0,0,0,0,-3.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,10.0,greedy_10,3,3,2,1,0,0,0,0,-1.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,30.0,qaia_50_4,3,3,3,0,0,0,0,0,-3.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,30.0,qaia_200_10,3,3,3,0,0,0,0,0,-3.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,30.0,greedy_4,3,3,3,0,0,0,0,0,-3.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,30.0,greedy_10,3,3,2,1,0,0,0,0,-1.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,60.0,qaia_50_4,3,3,3,0,0,0,0,0,-3.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,60.0,qaia_200_10,3,3,3,0,0,0,0,0,-3.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,60.0,greedy_4,3,3,3,0,0,0,0,0,-3.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,60.0,greedy_10,3,3,2,1,0,0,0,0,-1.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,120.0,qaia_50_4,3,3,3,0,0,0,0,0,-3.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,120.0,qaia_200_10,3,3,3,0,0,0,0,0,-3.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,120.0,greedy_4,3,3,3,0,0,0,0,0,-3.0
acn_scale_v4_grid,2019-03-08_N24_C6,120.0,vehicle,120.0,greedy_10,3,3,2,1,0,0,0,0,-1.0
